Machine Learning Algorithms,2018,John Smith,Mary Davis,David Wilson,156,Good,data science,
Thermodynamics in Astrophysics,2005,Robert Anderson,Susan Johnson,William Taylor,422,Unsatisfactory,Matter sciences,
Genetics and Evolution,1997,Emily Lee,Michael Brown,Jennifer Clark,780,Average,Evolution,
Civil Engineering Innovations,2015,David Smith,Linda Hall,Robert Anderson,112,Good,Civil engeering,
Macroeconomic Trends,2003,John Davis,Susan Johnson,William Taylor,565,Unsatisfactory,Economics,
Clinical Psychology Advances,2012,Emily Lee,David Wilson,Jennifer Clark,287,Good,Medical psycology,
Probability Theory Basics,2001,Susan Johnson,Michael Brown,William Taylor,686,Average,Probability,
Computer Vision Techniques,2019,John Smith,David Wilson,Linda Hall,211,Satisfactory,IPV,
Cell Biology Research,2007,David Smith,Michael Brown,Susan Johnson,389,Good,Microbiology,
Inorganic Chemistry Studies,1996,Michael Brown,John Davis,Emily Lee,936,Average,Chemical sciences,
Aerospace Engineering Developments,2016,Emily Lee,John Davis,William Taylor,578,Good,Aerospace engeneering,
Cultural Sociology Trends,2014,David Smith,Michael Brown,Robert Anderson,323,Good,socialogy,
Modern History Analysis,2008,John Davis,Robert Anderson,Jennifer Clark,465,Satisfactory,Modern History,
International Trade Patterns,2002,Michael Brown,David Wilson,Emily Lee,749,Unsatisfactory,Forex,
Particle Physics Discoveries,2010,Robert Anderson,Susan Johnson,John Smith,154,Good,particle physics,
Data Structures Fundamentals,2020,John Smith,Linda Hall,David Wilson,832,Satisfactory,Computer structures,
Developmental Psychology Insights,1999,David Wilson,John Davis,Susan Johnson,514,Average,psycology,
Number Theory Explorations,2004,Emily Lee,Linda Hall,Michael Brown,654,Average,mathematics,
Electrical Engineering Breakthroughs,2011,William Taylor,John Smith,Michael Brown,782,Good,electonics,
Political Sociology Perspectives,2017,Linda Hall,David Smith,Robert Anderson,224,Satisfactory,Political Sciences,
Organic Chemistry Advances,2006,John Smith,Susan Johnson,David Wilson,379,Unsatisfactory,Inorganic chemistry,
Ecology Studies,2013,David Smith,Michael Brown,Emily Lee,109,Good,Computer structures,
Algorithms for Optimization,2009,Michael Brown,David Wilson,John Davis,843,Satisfactory,data science,
Ancient History Rediscovered,1995,David Wilson,Susan Johnson,Robert Anderson,315,Satisfactory,Ancient history,
Microeconomic Theory Insights,1998,William Taylor,John Davis,Emily Lee,421,Unsatisfactory,Economics,
Astrophysics Discoveries,2000,John Smith,Michael Brown,Susan Johnson,498,Good,,Matter sciences
Social Psychology Experiments,2004,Robert Anderson,Emily Lee,David Wilson,721,Average,,Evolution
Mechanical Engineering Innovations,2007,Emily Lee,John Smith,Linda Hall,247,Unsatisfactory,,Civil engeering
Urban Sociology Trends,2016,Linda Hall,Michael Brown,David Smith,670,Average,,Economics
Analytical Chemistry Techniques,2003,Michael Brown,Robert Anderson,William Taylor,931,Good,,Medical psycology
Genetic Engineering Advancements,2001,David Smith,Linda Hall,Michael Brown,518,Unsatisfactory,,Probability
Machine Learning Applications,2015,John Smith,David Wilson,Susan Johnson,268,Good,,IPV
Differential Equations Research,2018,Michael Brown,Emily Lee,John Davis,458,Satisfactory,,Microbiology
Aerospace Engineering Developments,2010,William Taylor,John Smith,Robert Anderson,713,Average,,Chemical sciences
Behavioral Economics Experiments,2019,David Smith,Linda Hall,Michael Brown,674,Satisfactory,,Aerospace engeneering
Quantum Mechanics Insights,1997,Linda Hall,David Smith,John Davis,208,Good,,socialogy
Cognitive Psychology Experiments,1994,John Davis,William Taylor,Michael Brown,137,Unsatisfactory,,Modern History
Computer Vision Applications,2008,William Taylor,David Wilson,Linda Hall,579,Satisfactory,,Forex
Linear Algebra Fundamentals,2005,Susan Johnson,Robert Anderson,John Smith,842,Average,,particle physics
Social Stratification Analysis,2017,Linda Hall,Michael Brown,David Smith,757,Satisfactory,,Computer structures
Medieval History Discoveries,1992,Robert Anderson,John Davis,Susan Johnson,319,Good,,psycology
International Economic Policies,2006,Michael Brown,Linda Hall,Emily Lee,413,Unsatisfactory,,mathematics
Electrical Engineering Breakthroughs,2002,David Smith,Susan Johnson,William Taylor,981,Average,,electonics
Clinical Psychology Advances,2014,Emily Lee,Robert Anderson,John Smith,932,Satisfactory,,Political Sciences
Cell Biology Research,2011,William Taylor,Susan Johnson,David Smith,501,Good,,Inorganic chemistry
Inorganic Chemistry Studies,2009,David Wilson,Linda Hall,John Davis,247,Unsatisfactory,,Computer structures
Cultural Sociology Trends,2000,Robert Anderson,David Smith,Michael Brown,675,Good,,data science
Modern History Analysis,1993,Linda Hall,Michael Brown,Susan Johnson,541,Average,,Ancient history
Particle Physics Discoveries,2013,John Davis,William Taylor,Robert Anderson,776,Satisfactory,,Economics
